# BUSCO version is: 3.0.2 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 8, number of BUSCOs: 982)
# To reproduce this run: python /ceph/users/rchallis/.conda/envs/busco/bin/run_busco -i assembly.fasta -o busco -l nematoda_odb9/ -m genome -c 16 -sp caenorhabditis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091H0002	Missing
EOG091H000H	Missing
EOG091H0016	Complete	FJNM01000076.1	59059	76467	1980.7	1368
EOG091H001E	Missing
EOG091H0021	Missing
EOG091H0025	Missing
EOG091H0026	Missing
EOG091H0027	Missing
EOG091H0029	Missing
EOG091H002E	Missing
EOG091H002I	Missing
EOG091H002T	Missing
EOG091H0034	Missing
EOG091H0037	Missing
EOG091H003H	Missing
EOG091H003N	Missing
EOG091H003X	Missing
EOG091H004B	Missing
EOG091H004H	Missing
EOG091H004L	Missing
EOG091H004P	Missing
EOG091H004U	Missing
EOG091H005M	Missing
EOG091H0061	Missing
EOG091H0069	Missing
EOG091H006B	Missing
EOG091H006J	Missing
EOG091H006P	Missing
EOG091H0074	Missing
EOG091H007C	Missing
EOG091H007E	Missing
EOG091H007U	Missing
EOG091H0081	Missing
EOG091H008D	Missing
EOG091H008P	Missing
EOG091H008Q	Missing
EOG091H008U	Missing
EOG091H008Z	Missing
EOG091H0090	Missing
EOG091H0092	Missing
EOG091H00AU	Missing
EOG091H00B7	Missing
EOG091H00C4	Missing
EOG091H00CS	Missing
EOG091H00D9	Missing
EOG091H00DA	Missing
EOG091H00DB	Missing
EOG091H00DM	Missing
EOG091H00E0	Missing
EOG091H00EC	Missing
EOG091H00EN	Missing
EOG091H00ER	Complete	FJNM01000093.1	19500	29293	1490.4	881
EOG091H00EY	Missing
EOG091H00FN	Missing
EOG091H00G5	Missing
EOG091H00GC	Missing
EOG091H00GI	Missing
EOG091H00GM	Missing
EOG091H00GZ	Missing
EOG091H00H9	Missing
EOG091H00HI	Missing
EOG091H00HN	Missing
EOG091H00I6	Missing
EOG091H00IN	Missing
EOG091H00IO	Missing
EOG091H00JC	Missing
EOG091H00JN	Missing
EOG091H00JR	Missing
EOG091H00JS	Missing
EOG091H00K1	Missing
EOG091H00K2	Missing
EOG091H00K6	Missing
EOG091H00K8	Missing
EOG091H00KI	Missing
EOG091H00KL	Missing
EOG091H00KR	Missing
EOG091H00L2	Missing
EOG091H00L8	Missing
EOG091H00LE	Missing
EOG091H00LI	Missing
EOG091H00LY	Missing
EOG091H00M0	Missing
EOG091H00MA	Missing
EOG091H00ME	Missing
EOG091H00MR	Missing
EOG091H00MS	Missing
EOG091H00N0	Missing
EOG091H00N1	Missing
EOG091H00NA	Missing
EOG091H00NH	Missing
EOG091H00NK	Missing
EOG091H00NL	Missing
EOG091H00NM	Missing
EOG091H00NT	Missing
EOG091H00O1	Missing
EOG091H00O6	Missing
EOG091H00OG	Missing
EOG091H00OH	Missing
EOG091H00OW	Missing
EOG091H00OX	Missing
EOG091H00P3	Missing
EOG091H00PN	Missing
EOG091H00PS	Missing
EOG091H00PT	Missing
EOG091H00PU	Missing
EOG091H00Q7	Missing
EOG091H00Q9	Missing
EOG091H00QE	Missing
EOG091H00QH	Missing
EOG091H00QS	Missing
EOG091H00QU	Missing
EOG091H00R6	Missing
EOG091H00RF	Missing
EOG091H00RU	Missing
EOG091H00S9	Missing
EOG091H00SJ	Missing
EOG091H00SK	Missing
EOG091H00SU	Missing
EOG091H00T3	Missing
EOG091H00T6	Missing
EOG091H00T7	Missing
EOG091H00TB	Missing
EOG091H00TG	Missing
